name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),menu_item,listed_in(type),listed_in(city)
Dreamcatcher,Yes,No,3.9,49,Bannerghatta Road,Cafe,Cafe,600,"['Cream of Chicken Soup', 'English Breakfast', 'American Breakfast', 'Spicy Chicken Burger', 'DC Veg Club Sandwich', 'DC Chicken Club Sandwich', 'Herb Crushed Grilled Chicken Breast', 'White Sauce Veg Pasta', 'White Sauce Non Veg Pasta', 'Arrabiata Sauce Non Veg Pasta', 'Chocolate Milk Shake', 'Butter Scotch Milk Shake', 'English Breakfast', 'American Breakfast', 'Cottage Cheese Scramble', 'Tomato Basil Soup', 'Cream of Mushroom Soup', 'Cream of Chicken Soup', 'Watermelon Salad', 'DC Healthy Green Salad', 'Mix Bean Salad', 'Moroccan Chickpea Tagine', 'Italian Vegetable Lasagne', 'Spinach and Mushroom Au Gratin', 'Chicken Ala King', 'Hungarian Chicken Paprika', 'Herb Crushed Grilled Chicken Breast', 'Portuguese Meat Ball', 'Grilled Mahi Mahi', 'Farmers Pizza', 'Hawaiian Mushroom Pizza', 'Margherita Pizza', 'Chicken Indiana Pizza', 'Chicken Keema Pizza', 'Mutton Keema Pizza', 'White Sauce Veg Pasta', 'Arrabiata Sauce Veg Pasta', 'White Sauce Non Veg Pasta', 'Arrabiata Sauce Non Veg Pasta', 'DC Veg Burger', 'Spicy Chicken Burger', 'DC Veg Club Sandwich', 'DC Chicken Club Sandwich', 'Chocolate Milk Shake', 'Vanilla Milk Shake', 'Strawberry Milk Shake', 'Butter Scotch Milk Shake']",Cafes,Bannerghatta Road
Cafe Coffee Day,No,No,3.6,19,Bannerghatta Road,Cafe,"Cafe, Fast Food",900,[],Cafes,Bannerghatta Road
Cafe Arabica,No,No,3.8,69,Bannerghatta Road,"Cafe, Bakery","Cafe, Bakery",700,[],Cafes,Bannerghatta Road
Starbucks,No,No,3.9,52,Bannerghatta Road,Cafe,"Cafe, Desserts",700,[],Cafes,Bannerghatta Road
Smoor,Yes,No,3.6,18,Bannerghatta Road,Dessert Parlor,"Desserts, Cafe, Beverages",900,"['Chocolates Box', 'Belgium Chocolate Truffle Cake', 'Intense Chocolate Cake', 'Red Velvet Naked Cake', 'New York Baked Cheesecake Slice', 'Caramel Smoor Coated Crispy Treats', 'Coffee Smoor Coated Crispy Treats', 'Pineapple Smoor Coated Crispy Treats', 'Milk Almond Sensation', 'Rum Truffle', 'Dark Almond Sensation', 'Mango Truffle', 'Rich Dark', 'Raspberry', 'Chilli Chocolate', 'Passion Praline', 'Dairy Milk', 'Hazelnut Gianduja', 'Strawberry and Balsamic', 'Rocher', 'Hazelnut and Crispy Almond Praline', 'Orange and Thyme', 'Nougat Cube', 'Pistachio Saffron Praline', 'Assam Praline', 'Caracrakine', 'Hazelnut Orange Burst', 'Chocolates Box', 'Dark Chocolate Buttons', 'Milk Chocolate Buttons', 'White Chocolate Buttons', 'Garam Masala Cashews', 'Lime with Chilli Cashews', 'Mexican Spice Cashews', 'Honey, Ginger, Garlic and Cashew', 'Almond Dragees', 'Blueberry Dragees', 'Hazelnut Dragees', 'Coconut Thins', 'Coconut With Curry Thins', 'Garam Masala Thins', 'Vanilla Mayan Bar', 'Chilli Mayan Bar', 'Orange Mayan Bar', 'Coffee Mayan Bar', 'Pure Milk Mayan Bar', 'Fleur De Sel Mayan Bar', 'Anise [80 Grams]', 'Cranberry [80 Grams]', 'Caramelized Orange [80 Grams]', 'Strawberry With Dark Chocolate', 'Salted Mango With Dark Chocolate', 'Cranberry With White Chocolate', 'Guava With Milk Chocolate', 'Apricot Lime With Dark Chocolate', 'Salted Caramel Chews', 'Coffee Caramel Chews', 'Chocolate Caramel Chews', 'Raspberry and Vanilla Chews', 'Mango Ginger Chews', 'Apple Cinnamon Chews', 'True Bar Slow Roasted Almond', 'True Bar Biscuit Crunch', 'True Bar Caramel Crunch', 'True Bar Spicy Indian Chilli', 'Mixed Nut', 'Himalayan Pink Salt', 'Dark Chocolate', 'Milk Chocolate', 'Hazelnut Macaron', 'Coconut Macaron', 'Mango Macaron', 'Passion Fruit Macaron', 'Pistachio Macaron', 'Rose Macaron', 'Salted Caramel Macaron', 'Strawberry Macaron', 'Rasmalai Saffron Entremet', 'Belgium Chocolate Truffle Cake', 'Rainbow Cake Pastry', 'Intense Chocolate Cake', '8 Textures of Chocolate', 'Musketeers Trifle Crisp', 'Pina Colada', 'Red Velvet Naked Cake', 'Chocolate Marquise', 'Pista Passion Pastry', 'Milk Chocolate Cupcake', 'Dark Chocolate Cup Cake', 'Strawberry Surprise Cupcakes', 'Red Velvet Cupcakes', 'Vanilla Cupcakes', 'Belgium Chocolate Truffle Cake', 'Opera Cake', 'Rainbow Cake', 'Intense Chocolate Cake', 'Intensive Red Velvet Cake', 'Red Velvet Naked Cake', 'Belgium Chocolate Baked Cheesecake Slice', 'Peanut Butter Cheesecake Slice', 'Toffee Cheesecake Slice', 'Blueberry Cheesecake Slice', 'Gulab Jamun Cheesecake Slice', 'New York Baked Cheesecake Slice', 'Blueberry Cheesecake']",Cafes,Bannerghatta Road
Kalmane Koffees,No,No,3.9,78,Bannerghatta Road,Cafe,Cafe,350,[],Cafes,Bannerghatta Road
Shee-Sha Cafe,No,Yes,3.6,39,Bannerghatta Road,"Cafe, Casual Dining","Cafe, North Indian, Chinese, Continental",800,[],Cafes,Bannerghatta Road
Brews N Bites,Yes,No,2.7,48,Bannerghatta Road,"Quick Bites, Cafe","Chinese, Fast Food, Cafe, Street Food, Finger Food",650,"['Non Veg Sunset Salads', 'Chicken Chilli', 'Chicken Hakka Noodles', 'BBQ Chicken Sizzler', 'Grilled Fish Sizzler', 'Veg Sweetcorn Soup', 'Veg Manchow Soup', 'Veg Hot and Sour Soup', 'Veg Lemon Coriander Soup', 'Veg Clear Soup', 'Veg Noodles Soup', 'Veg Hakka Soup', 'Non Veg Hakka Soup', 'Non Veg Noodles Soup', 'Non Veg Clear Soup', 'Non Veg Lemon Coriander Soup', 'Non Veg Hot and Sour Soup', 'Non Veg Manchow Soup', 'Non Veg Sweetcorn Soup', 'Veg Sunrise Salad', 'Lazy Cretan Salad', 'Non Veg Sunset Salads', 'Tuna Tomato Salads', 'Gobi Manchurian', 'Gobi Chilli', 'Gobi Schezwan', 'Gobi Pepper and Salt', 'Gobi Kung Po', 'Paneer Manchurian', 'Paneer Chilli', 'Paneer Szechuan', 'Paneer Pepper and Salt', 'Paneer Kung Po', 'Mushroom Manchurian', 'Mushroom Chilli', 'Mushroom Schezwan', 'Mushroom Pepper and Salt', 'Mushroom Kung Po', 'Baby Corn Manchurian', 'Baby Corn Chilli', 'Baby Corn Schezwan', 'Baby Corn Pepper and Salt', 'Baby Corn Kung Po', 'Chilli Potato', 'Corn Chilli Pepper', 'Veg Schezwan', 'Chicken Manchurian', 'Chicken Chilli', 'Chicken Schezwan', 'Chicken Pepper and Salt', 'Chicken Kung Po', 'Prawn Manchurian', 'Prawn Chilli', 'Prawn Schezwan', 'Prawn Pepper and Salt', 'Prawn Kung Po', 'BBQ Chicken Wings [5 Pieces]', 'Desi Chicken Wings [5 Pieces]', 'Dragon Chicken Wings [5 Pieces]', 'Veg Golden Fried Baby Corn', 'Veg Schezwan Humpty Dumpty', 'Mix Veg Manchurian', 'Chicken Wings', 'Chicken Lollipop', 'Dragon Chicken', 'Crispy Chicken', 'Golden Fried Prawn', 'Brews and Bites Special', 'Chinese Fried Chicken', 'Veg Fried Rice', 'Paneer Fried Rice', 'Mushroom Fried Rice', 'Veg Ginger Capsicum Fried Rice', 'Paneer Ginger Capsicum Fried Rice', 'Mushroom Ginger Capsicum Fried Rice', 'Veg Golden Onion Garlic Fried Rice', 'Paneer Golden Onion Garlic Fried Rice', 'Mushroom Golden Onion Garlic Fried Rice', 'Veg Schezwan Fried Rice', 'Paneer Schezwan Fried Rice', 'Mushroom Schezwan Fried Rice', 'Veg Shanghai Rice', 'Paneer Shanghai Rice', 'Mushroom Shanghai Rice', 'Veg Shanghai Schezwan Rice', 'Paneer Shanghai Schezwan Rice', 'Mushroom Shanghai Schezwan Rice', 'Paneer Triple Fried Rice', 'Veg Triple Fried Rice', 'Veg Triple Schezwan Fried Rice', 'Paneer Triple Schezwan Fried Rice', 'Mushroom Triple Schezwan Fried Rice', 'Veg Lifu Rice', 'Paneer Lifu Rice', 'Mushroom Lifu Rice', 'Veg Singapuri Rice', 'Paneer Singapuri Rice', 'Mushroom Singapuri Rice', 'Veg Steam Rice', 'Egg Fried Rice', 'Egg Ginger Capsicum Fried Rice', 'Egg Golden Onion Garlic Fried Rice', 'Egg Schezwan Fried Rice', 'Egg Shanghai Rice', 'Egg Shanghai Schezwan Rice', 'Egg Triple Fried Rice', 'Egg Triple Schezwan Fried Rice', 'Egg Lifu Rice', 'Egg Singapuri Rice', 'Chicken Fried Rice', 'Chicken Ginger Capsicum Fried Rice', 'Chicken Golden Onion Garlic Fried Rice', 'Chicken Schezwan Fried Rice', 'Chicken Shanghai Rice', 'Chicken Shanghai Schezwan Rice', 'Chicken Triple Fried Rice', 'Chicken Triple Schezwan Fried Rice', 'Chicken Lifu Rice', 'Chicken Singapuri Rice', 'Prawns Fried Rice', 'Prawns Ginger Capsicum Fried Rice', 'Prawns Golden Onion Garlic Fried Rice', 'Prawns Schezwan Fried Rice', 'Prawns Shanghai Rice', 'Prawns Shanghai Schezwan Rice', 'Prawns Triple Fried Rice', 'Prawns Triple Schezwan Fried Rice', 'Prawns Lifu Rice', 'Prawns Singapuri Rice', 'Veg Hakka Noodles', 'Veg Schezwan Noodles', 'Veg Pan Fried Noodles', 'Veg Lifu Noodles', 'Egg Hakka Noodles', 'Egg Schezwan Noodles', 'Egg Pan Fried Noodles', 'Egg Lifu Noodles', 'Chicken Hakka Noodles', 'Chicken Schezwan Noodles', 'Chicken Pan Fried Noodles', 'Chicken Lifu Noodles', 'Prawns Hakka Noodles', 'Prawns Schezwan Noodles', 'Prawns Pan Fried Noodles', 'Prawns Lifu Noodles', 'Veg Chinese Chopsuey', 'Veg Chinese Schezwan Chopsuey', 'Veg American Chopsuey', 'Chicken Chinese Chopsuey', 'Chicken Chinese Schezwan Chopsuey', 'Prawns Chinese Chopsuey', 'Prawns Chinese Schezwan Chopsuey', 'Margherita Pizza', 'Funghi Pizza', 'Tropical Sun Pizza', 'Garden Fresh Pizza', 'Spinach and Feta Pizza', 'The Vegetarian Pizza', 'Little Italy Pizza', 'Quattro Formaggi Pizza', 'Exotic Pizza', 'Hawaiian Pizza', 'Mafia Pizza', 'Four Seasons Pizza', 'Pepperoni Pizza', 'Fully Loaded Pizza', 'Bolognese Pizza', 'Grilled Prawns Pizza', 'Grilled Fish Pizza', 'Tunno Pizza', 'Indian Garden Pizza', 'Desi Mushroom Pizza', 'Desi Paneer Pizza', ""Let's Dance Pizza"", 'Tandoori Pot Pizza', 'Paneer Chettinad Pizza', 'BBQ Chicken Pizza', 'Sausage Overload Pizza', 'Hot Chick Pizza', 'Desi Chicken Pizza', 'Chicken Chettinad Pizza', 'Chicken Tikka Pizza', 'Desi Keema Pizza', 'White Sauce Spinach and Feta Pasta', 'Red Sauce Tang Veg Pasta', 'White Sauce Creamy Mushroom Pasta', 'Red Sauce Tangy Mushroom Pasta', 'White Sauce Base Creamy Basil Pesto Pasta', 'Four Cheese Pasta', 'Aglio Olio Exotic Dry Pasta', 'White Sauce Creamy Chicken Pasta', 'Red Sauce Tangy Chicken Pasta', 'Red Sauce Prawn Tomato Pasta', '4 Cheese and Sausage Pasta', 'Red Sauce Tangy Tuna Pasta', 'Spaghetti Bolognese Pasta', 'Aglio Olio and Chicken Pasta', 'Veg Burger', 'Veg Jumbo Burger', 'Egg Burger', 'Chicken Burger', 'Non Veg Jumbo Burger', 'Spinach, Corn and Mushroom Sandwich', 'Veg Greenwave Spinach Sandwich', ""Veg Dieter's Delight Sandwich"", 'Plain Cheese Sandwich', 'Paneer Tikka Sandwich', 'Egg and Cheese Sandwich', 'Chicken Tikka Sandwich', 'English Mayonnaise Sandwich', 'Indian Spice Sandwich', 'Mixed Veg Lasagne', 'Mushroom Lasagne', 'Spinach and Corn Lasagne', 'Chicken Lasagne', 'Lamb Lasagne', 'Prawn Lasagne', 'Veg Pesto Paneer Sizzler', 'Mixed Veggie Sizzler', 'BBQ Chicken Sizzler', 'Grilled Fish Sizzler', 'Veg Steamed Momos', 'Veg Fried Momos', 'Chicken Steamed Momos', 'Chicken Fried Momos', '4 Garlic Bread', '4 Cheese Garlic Bread', 'Potato Wedges', 'French Fries', 'Chilli Potato Wedges with Cheese', 'Basket O Fries', 'Cheese and Spicy Chilli Toast', 'Cheese Omelette', 'Mixed Veg Omelette', 'Bread Omelette', 'Masala Omelette', 'Chicken Keema Omlette', 'Chicken Nuggets', 'Shady Brazil Mogiana Cold Coffee', 'Cream Salvador Cosecha Cold Coffee', 'Forty Isabel Guatemala Cold Coffee', 'Cold Coffee', 'Coffee Shakes', 'Iced Tea Popular', 'Iced Tea Premium', 'Dark fantasy Shake La Vani', 'Dark Fantasy Choco Shakey', 'Dark Fantasy Shake Fill', 'Orea Fantasy', 'Snickers Shake', 'Vanilla Milkshake', 'Strawberry Milkshake', 'Mango Milkshake', 'Chocolate Milkshake', 'Kiwi Milkshake', 'Litchi Milkshake', 'Citrus Refresher', 'Tropical Rush Mocktail', 'Double Berry Mocktail', 'Chocolate Cherry Mocktail', 'Green Island Mocktail', 'Indian Firebolt Mocktail', 'Cool Blue Mocktail', 'Green Apple Soda', 'Tropical Ice Burg Mocktail', 'Mango Smoothie', 'Strawberry Smoothie', 'Black Currant Smoothie', 'Chocolate Smoothie', 'Irish Delight Latte', 'Blueberry and Peach Latte', 'Blueberry Latte', 'Fresh Lime Soda', 'Mineral Water [1 litre]', 'Red Bull', 'Coke [600 ml]']",Cafes,Bannerghatta Road
D2V Cafe,No,No,3.6,13,Bannerghatta Road,Cafe,Cafe,700,[],Cafes,Bannerghatta Road
Cafe Talk,No,No,3.3,14,Bannerghatta Road,"Cafe, Casual Dining","Cafe, Continental, North Indian, Bakery, Desserts",700,[],Cafes,Bannerghatta Road
Cafe Choco Craze,No,No,3.7,9,Bannerghatta Road,Cafe,"Cafe, Fast Food, Desserts",400,[],Cafes,Bannerghatta Road
Slate Cafe,Yes,No,4.1,46,JP Nagar,Cafe,"Cafe, Sandwich, Burger",600,"['Veg Alfredo Pasta', 'Chicken Verde Pasta', 'French Toast', 'Peri Peri Chicken Strips', 'Lam Bullets', 'The Red Wedding Veg Soup', 'Mush Take Veg Soup', 'L C C Chicken Soup', 'Veggies and Fruits Salad', 'Sprouts Salad', 'Grilled Chicken Salad', 'Da Firangi Veg Burger', 'Maa ka Pav Veg Burger', 'Quick Gun Murugan Veg Burger', 'Katekar Veg Burger', 'Keema ki Veg Paneer Burger', 'Da Firangi Chicken Burger', 'Maa kaPav Chicken Burger', 'Quick Gun Murugan Chicken Burger', 'Katekar Chicken Burger', 'Keema ki Chicken Burger', 'Heisen Chicken Burger', 'Pulled Mutton Burger', 'Weight Watchers Sandwich', 'Bombay Special Sandwich', 'Shroom Sandwich', 'Namma Sandwich', 'Single Barrel Sandwich', 'MOLT Sandwich', 'Veg Arrabiata Pasta', 'Veg Alfredo Pasta', 'Veg Verde Pasta', 'Veg Masta Pasta', 'Veg Roasted Pumpkin Pasta', 'Chicken Arrabiata Pasta', 'Chicken Alfredo Pasta', 'Chicken Verde Pasta', 'Chicken Masta Pasta', 'Chicken Roasted Pumpkin Pasta', 'Vegetable Hotpot', 'Chicken in Lemon Parsley', 'Lamblast', 'Bhurji Pav', 'Bread Omelette', 'French Toast', 'Scram', 'Boiled Veggies', 'Peanut Butter Pupcake', 'Boiled Egg', 'Boiled Chicken', 'Garlic Fries', 'Garlic Bread with Cheese', 'Dynabites', 'Paneer Pops', 'Firangi Tikkis', 'Peri Peri Chicken Strips', 'Railway Chicken Cutlets', 'Crunchy Chicken', 'Lam Bullets', 'Sausage Fries', 'Hot Chocolate', 'Lemon Iced Tea', 'Peach Iced Tea', 'Lemon Mint Cooler', 'Strawberry Mojito', 'Breat the Blues Cooler', 'Throwback Cooler', 'Cold Coffee Shake', 'Bourbon Shake', 'Dairy Milk Shake', 'Brownie Shake', 'Passion Fruit and Peach Shake', 'Banana Oats Shake']",Cafes,Bannerghatta Road
Dialogues,No,No,4.0,129,JP Nagar,Cafe,"Cafe, Continental",600,[],Cafes,Bannerghatta Road
Mudpipe Cafe,Yes,Yes,3.9,727,JP Nagar,Cafe,"Cafe, Continental, North Indian",800,"['BBQ Cottage Cheese Sizzler', 'Veg Mezzah Platter', 'Penne White Sauce', 'Penne Red Sauce', 'Mexican Rice', 'Great Wall of China Sizzler', 'Italian Sizzler', 'Grilled Veg Sizzler', 'BBQ Cottage Cheese Sizzler', 'Chinese Platter', 'French Onion Soup', 'Cream of Tomato Soup', 'Cream of Mushroom Soup', 'Veg Sweet Corn Soup', 'Abogoda Soup', 'Italian Corn Soup', 'Vegtalmon Soup', 'Russian Salad', 'Caeser Salad', 'Penne Corn Salad', 'Green Apple Feta Cheese Salad', 'Chinese Burma Chilly Salad', 'Kimchi Salad', 'German Potato Salad', 'Paneer Pineapple Tikka', 'Bharamb Khumb', 'Baked Seasoned Ricotta', 'Spinach and Feta Cheese Briouats', 'Assorted Crostini', 'Crumb Fried Stuffed Mushroom', 'Veg Mezzah Platter', 'Chilli Peanut Crusted Camber', 'Cheesy Balls', 'French Fries', 'Veg Bruschetta', 'Dal Tadka', 'Dal Makhni', 'Paneer Butter Masala', 'Kadai Paneer', 'Palak Paneer', 'Paneer Punjabi', 'Veg Patiala', 'Lasagna of Summer Vegetables', 'Risotto with Cream of Mushroom', 'Grilled Cottage Cheese and Spinach Milll Filli', 'Potato and Red Onion Roesti', 'Mushroom and Pak Choi Crepes', 'Veg Manchurian', 'Paneer Manchurian', 'Mushroom Manchurian', 'Mushroom Chilli', 'Paneer Chilli', 'Baby Corn Manchurian', 'Baby Corn Chilli', 'Gobi Chilli', 'Gobi Manchurian', 'Golden Fried Baby Corn', 'BBQ Baby Corn', 'Veg Spring Roll', 'Cheese Spring Roll', 'Maggie Masala', 'Veg Fried Rice', 'Paneer Fried Rice', 'Italian Rice', 'Mexican Rice', 'Bell Pepper with Salsa', 'Saute Cottage Cheese', 'Spicy Mexican Panini', 'Italian Sandwich', 'Veg Cheese Grill', 'Veg Club Sandwich', 'Veg Grill Burger', 'Cottage Cheese Burger', 'Hula Hula Hawaiian Pizza', 'BBQ Cheese Pizza', 'Spanish Corn Pizza', 'Mudpipe Special Pizza', 'Chilli Paneer Pizza', 'Cheese Pizza', 'Foot Long Pizza', 'Penne White Sauce', 'Penne Red Sauce', 'Spaghetti Noodles Red Sauce', 'Spaghetti Noodles White Sauce', 'Mexican Gravy', 'Phulka', 'Ghee Rice', 'Jeera Rice', 'Veg Biryani', 'Paneer Biryani', 'Veg Pulav', 'Palak Rice', 'Pineapple Raitha', 'Boondi Raitha', 'Mix Veg Raitha', 'Masala Papad', 'Watermelon Delight', 'Sizzling Brownie', 'Panna Cotta', 'Mix Fruit Ice Cream Nuts', 'Kit Kat Milkshake', 'Strawberry Milkshake', 'Snicker Bar Milkshake', 'Vanilla Milkshake', 'Oreo Milkshake', 'Blackforest Milkshake', 'Hot Chocolate Fudge Milkshake', 'Fresh Lime', 'Water Melon Juice', 'Pineapple Juice', 'Mango Milkshake', 'Country Lemonade', 'Pink Lemonade', 'Lemon Ice Tea', 'Peach Ice Tea', 'Chocolate Milkshake', 'Mud Shake', 'Chocolate Soda', 'Mango Smoothie', 'Black Current Milkshake', 'Gold Berry', 'Butter Scotch Milkshake', 'Red Bull', 'Hot Coffee', 'Masala Tea']",Cafes,Bannerghatta Road
TAB - Take A Break,No,No,4.1,521,JP Nagar,Cafe,"Cafe, Continental, Italian",550,[],Cafes,Bannerghatta Road
Biggies Burger 'n' More,Yes,No,4.1,203,JP Nagar,"Quick Bites, Cafe","Cafe, Burger, Beverages",650,"['American Cheese Hotdog', 'Mexican Spicy Hotdog', 'Sunny Side Hot Dog', 'Basa Fillet Burger', 'Panco Prawn Burger', 'Prawn Platter', 'Whole Crab Burger', 'Grilled Combo Non Veg', 'Grilled Combo Veg', 'Bigg Combo Non - Veg', 'Bigg Combo Veg', 'Dogg Combo Non-Veg', 'Dogg Combo Veg', 'Value Combo Non-Veg', 'Value Combo Veg', 'Add On Combo(Mojito + Fries)', 'Mexican Herb Burger', 'Smoked BBQ Burger', 'Chicken Afghani', 'Paneer Twisted Burger', 'Grilled Mushroom Burger', 'Veg Exotic Burger', 'American Cheese Burger', 'African Peri Peri', 'Tandoori Fillet Burger', 'American Smoked BBQ Lamb Burger', 'Indian Lamb Burger', 'African Peri Peri Lamb', 'Afghani Tandoor Burger', 'Peri Peri Lamb Burger', 'Peri Peri Chicken Burger', 'Peri Peri Paneer Burger', 'Cuban Classic', 'Niagra Lime', 'Lime n Mint', 'Blue Heaven', 'Breve Malt', 'Strawberry Bliss', 'Berry Shake', 'Choco Brownie', 'Choco Pie', 'Choco Shake', 'Cold Coffee', 'Kitkat Shake', 'Oreo Shake', 'Red Velvet Shake', 'Cheesy Fries', 'Chicken Topped Fries', 'French Fries', 'Paneer Topped Fries', 'Peri Peri Fries', 'Tandoori Fries', 'Cheesy Wedges', 'Peri Peri Wedges', 'Potato Wedges', 'Chicken Tandoori Panini', 'Classic Mushroom Panini', 'Tandoori Paneer Panini', 'Cheese and Corn Platter', 'Finger Sticker', 'Nuggets', 'Paneer Finger', 'Tandoori Paneer Satay', 'Crunch Beam', 'Baked Beamer', 'Crispy Patty', 'Chicken Finger Burger', 'Potato Krunch Burger', 'Veg Finger Burger', 'Addon Cheese Slice', 'Extra Chicken Patty', 'Extra Grilled Chicken Patty', 'Extra Lamb Patty', 'Extra Potato Patty', 'Extra Veg Patty', 'Water Bottle']",Cafes,Bannerghatta Road
Cafe Potpourri,Yes,No,3.7,131,JP Nagar,Cafe,"Cafe, Sandwich, North Indian, Beverages, Desserts",400,"['Indian Combo', 'Chilli Cheese Sandwich', 'Poha', 'Paddu', 'Aloo Paratah', 'Indian Combo', 'Masala Pasta', 'Alfredo Pasta', 'Veg Maggi', 'Veg Cheese Maggi', 'Indian Combo', 'Upma', 'Poha', 'Semiya', 'Museli', 'Corn Flakes', 'Masala Oats', 'Akki Roti', 'Atta Dosa', 'Paddu', 'Pongal', 'Ragi Roti', 'Aloo Paratah', 'Methi Paratha', 'Onion Paratah', 'Paneer Paratah', 'Sathu Paratah', 'Green Peas Paratha', 'Masala Pasta', 'Arrabiiata Pasta', 'Alfredo Pasta', 'Veg Paneer Momos', 'Tandoor Momos', 'Veg Steamed Momos', 'Veg Maggi', 'Plain Maggi', 'Mushroom Maggi', 'Veg Cheese Maggi', 'Choco Milkshake', 'Strawberry Milk Shake', 'Mango Milk Shake', 'Kesan Milk Shake', 'Paan Milk Shake', 'Jackfruit Milk Shake', 'Falooda', 'Oreo Milk Shake', 'Oreo Dates Milk Shake', 'Bourbon Milkshake', 'Snickers Milk Shake', 'Dates Milk Shake', 'Coffee Milk Shake', 'Nutella Milk Shake', 'Harshey Milk Shake', 'Guava Milkshake', 'Kesar Badam Milk Shake', 'Rose Milk Shake', 'Mirchi Guava Milk Shake', 'Potpounni Special Milk Shake', 'Buurborn Milk Shake', 'Chocolate Milk Shake', 'Mango Lassi', 'Kesar Lassi', 'Choco Lassi', 'Lichi Lassi', 'Kiwi Lassi', 'Rose Lassi', 'Potpounni Special Lassi', 'Badam Lassi', 'Chocolate Lassi', 'Plain Salted Lassi', 'Plain Sweet Lassi', 'Khichdi with Papad', 'Bread Pakoda', 'Onion Pakoda', 'Bombay Vada Paav', 'Pakkoda Platter', 'Simply Veg Sandwich', 'Chilli Cheese Sandwich', 'Tom Mush Sandwich', 'Chocolate Sandwich', 'Choco Cheese', 'American Corn', 'Paneer Tikka', 'Veg Burger', 'Garlic Bread', 'Garlic Bread Grilled Cheese', 'Bread Jam Cheese', 'Bread Jam Butter', 'Samosa', 'Gobi Pakoda']",Cafes,Bannerghatta Road
De Oxford Cafe,No,No,3.7,34,JP Nagar,Cafe,"Cafe, Beverages, Fast Food",500,[],Cafes,Bannerghatta Road
Vinaya Coffee Moments,Yes,No,3.7,46,JP Nagar,Cafe,"Burger, Cafe, Desserts, Sandwich, Italian",450,"['Veg Supreme Pizza', 'Sandwich Combo', 'Popular Veg Burger Combo', 'Pasta Combo', 'Veg Cheese Sandwich', 'Jumbo Sandwich [2 Layer]', 'Cappuccino with Cookies', 'Sandwich Combo', 'Veg Wrap Combo', 'Popular Veg Burger Combo', 'Pasta Combo', 'Pancake Combo', 'Pizza Combo', 'Waldrof Salad', 'Hawaiian Salad', 'Garden Veg Salad', 'French Fries', 'Potato Wedges', 'Veg Nuggets', 'Potato Pops', 'Garlic Bread', 'Chilly Cheese Toast', 'Cheesy Fiesta Potatoes', 'Fiery Fiesta Potatoes', 'Samosa', 'Onion and Mushroom Wrap', 'Paneer Tikka Wrap', 'Crunchy Veg Wrap', 'Mexicana Wrap', 'Vegetable Wraps', 'Tandoori Paneer Wrap', 'Classic Cheese Quesadilla', 'Choco Cheese Quesadilla', 'Mix Veg Quesadilla', 'Veg Classic Sandwich', 'Mexican Veg Sandwich', 'Paneer Schezwan Sandwich', 'Mushroom and Mayo Sandwich', 'Veg Cheese Sandwich', 'Choco Cheese Sandwich', 'Tandoori Paneer Sandwich', 'Jumbo Sandwich [2 Layer]', 'Popular Veg Burger', 'Herb Chilli Burger', 'Aloo Tikki Burger', 'Veg Paneer Burger', 'Vinaya Coffee Moments Tower Burger [2 Patties]', 'Simply Veg Pizza', 'Margherita Pizza', 'Spicy Veggie Pizza', 'Vegetariana Pizza', 'Golden Corn Pizza', 'Paneer Delight Pizza', 'Chilly Paneer Pizza', 'Veg Supreme Pizza', 'Mexican Pizza', 'Cheese Burst Pizza', 'Paneer Schezwan Pizza', 'Tortilla Pizza', 'Vinaya Coffee Moments Special Pizza', 'Arrabbiata Red Sauce Pasta', 'Indyana White Sauce Pasta', 'Pamevera Pasta', 'Ice Cream [1 Scoop]', 'Red Velvet Lava', 'Choco Lava', 'Expresso Lava', 'Payasam Lava', 'Choco Chip Mug Lava', 'Banana Sundaes', 'Banana Bonkers Smoothie', 'Choco Banana Smoothie', 'Caramel Banana Smoothie', 'Blackcurrant Smoothie', 'Strawberry Smoothie', 'Mango Smoothie', 'Blueberry Smoothie', 'Kiwi Smoothie', 'Green Tea', 'Ginger Tea', 'Lemon Tea', 'Masala Tea', 'Assam Tea', 'Lemon Ice Tea', 'Peach Ice Tea', 'Strawberry Ice Tea', 'Mint Lemon Ice Tea', 'Frappe', 'Choco Frappe', 'Irish Frappe', 'Hazelnut Frappe', 'Almond Frappe', 'Caramel Frappe', 'Espresso Coffee', 'Americano Coffee', 'Cafe Mocha', 'Cappuccino', 'Cafe Latte', 'Irish Cappuccino', 'Hazelnut Cappuccino', 'Vanilla Cappuccino', 'Irish Latte', 'Hazelnut Latte', 'Vanilla Latte', 'Caramel Mocha', 'Vidya Classic Coffee', 'Moment Blend Coffee', 'Chikkamagalur Royal Coffee', 'Mysore Special Coffee', 'Madras Filter Coffee', 'Elachi Gold Coffee', 'Death By Chocolate Sundae', 'Sizzle Brownie Sundae', 'Banana Sundae', 'Hot Chocolate Fudge Sundae', 'Chocolate Brownie Sundae', 'Mocha Fruityz Sundae', 'Dark Knight Brownie Sundae', 'Blue Curacao Mojito', 'Strawberry Mojito', 'Peach Mojito', 'Green Apple Mojito', 'Banana Pancake', 'Dry Fruits Pancake', 'Chocolate Pancake', 'Strawberry Pancake']",Cafes,Bannerghatta Road
